id,topic,subtopic,question_en,answer_en,question_rw,answer_rw,source,age_appropriate,disability_accessible
1,contraception,overview,"What is contraception?","Contraception refers to methods used to prevent pregnancy. Common methods include condoms, pills, injections, implants, and IUDs. Each method has different effectiveness rates and suitability depending on the individual. Condoms also protect against sexually transmitted infections (STIs).","Guturinda umubyibuho ni iki?","Guturinda umubyibuho bisobanura uburyo bukoreshwa kugira ngo hataba inda itunganijwe. Uburyo busanzwe bugizwe na kondomu, ibinini, inkoresho z'imbuto, n'izindi. Kondomu kandi iringanira indwara zandurira mu gukora imibonano mpuzabitsina.","WHO SRH Guidelines 2020",true,true
2,contraception,condoms,"How do condoms work?","Condoms are a barrier method of contraception. A male condom is rolled onto an erect penis before sex and catches sperm so it cannot enter the vagina. When used correctly every time, condoms are 98% effective at preventing pregnancy and are the only contraceptive method that also protects against STIs including HIV.","Kondomu ikora ite?","Kondomu ni uburyo bwo gufunga imikorere y'inda. Kondomu y'umugabo ishyirwa ku gitsina cy'umugabo mbere y'imibonano mpuzabitsina kandi ifata intanga kugira ngo itinjire mu gitsina cy'umugore. Ikoreshwa neza buri gihe, kondomu ifasha 98% guturinda inda kandi niyo nzira yonyine iringanira n'indwara nka HIV.","WHO SRH Guidelines 2020",true,true
3,contraception,pills,"What are contraceptive pills?","Contraceptive pills are taken daily to prevent pregnancy. They contain hormones that stop ovulation. They are over 99% effective when taken correctly. They do not protect against STIs. You need a prescription from a health worker to get them in Rwanda.","Ibinini byo guturinda inda ni ibihe?","Ibinini byo guturinda inda birafatwa buri munsi kugira ngo hataba inda. Birimo imiti y'iminyururu ighaghara amagi ntaba. Biri hejuru ya 99% mu gukora neza ikoreshwa neza. Ntiriringanira indwara zandurira mu gukora imibonano mpuzabitsina. Ukeneye uruhushya rwa muganga kuzibona mu Rwanda.","Rwanda Ministry of Health SRH Protocol",true,true
4,STIs,overview,"What are sexually transmitted infections?","Sexually transmitted infections (STIs) are infections passed from one person to another through sexual contact. Common STIs include HIV, chlamydia, gonorrhoea, syphilis, and herpes. Many STIs have no obvious symptoms, so regular testing is important. Most STIs can be treated or managed with medication.","Indwara zandurira mu gukora imibonano mpuzabitsina ni izihe?","Indwara zandurira mu gukora imibonano mpuzabitsina (STIs) ni indwara zandurira hagati y'abantu bababiri bababiri mu gukora imibonano mpuzabitsina. STIs zisanzwe zirimo HIV, chlamydia, gonorrhea, syphilis, na herpes. Indwara nyinshi z'STIs nta bimenyetso bisobanutse biba, bityo kwipimisha birebire ni ingenzi. STIs nyinshi zishobora kuvurwa.","WHO STI Guidelines 2021",true,true
5,STIs,HIV,"How is HIV transmitted?","HIV is transmitted through contact with infected blood, semen, vaginal fluids, or breast milk. The most common routes are unprotected sex, sharing needles, and mother-to-child transmission during birth or breastfeeding. HIV cannot be transmitted through casual contact like hugging, sharing food, or mosquito bites.","HIV yandurira ate?","HIV yandurira binyuze mu kumarana n'amaraso, intanga z'umugabo, ibintu biva mu gitsina cy'umugore, cyangwa amata y'inda byangiye. Inzira zisanzwe ni imibonano mpuzabitsina itaborerwa, gukorana imisumari, n'iya nyina ugana umwana mugihe cyo kuvuka cyangwa konsa. HIV ntiyandurira mu gukurana, gusangira indyo, cyangwa kuryamwa n'inzige.","UNAIDS 2023",true,true
6,reproductive_rights,consent,"What is sexual consent?","Consent is a clear, enthusiastic, and ongoing agreement to engage in sexual activity. Everyone has the right to say no at any time, even if they have said yes before. Consent cannot be given when someone is drunk, asleep, under pressure, or underage. Sex without consent is sexual assault and is illegal in Rwanda.","Kwemera gukorana imibonano mpuzabitsina ni iki?","Kwemera ni ivugurura ryeruye, ryishimye, kandi rihoraho ryo kwemera gukorana imibonano mpuzabitsina. Buri muntu afite uburenganzira bwo kuvuga oya igihe cyose, nubwo yashatse mbere. Kwemera ntushobora gutangwa iyo umuntu ari umusazi, yaryamye, aganiriwe, cyangwa ari munsi y'imyaka y'amategeko. Gukora imibonano mpuzabitsina nta kwemera ni ihohoterwa ry'ibitsina kandi biburiwe n'amategeko mu Rwanda.","Rwanda Penal Code; WHO",true,true
7,reproductive_rights,GBV,"What is gender-based violence?","Gender-based violence (GBV) is violence directed at someone because of their gender. It includes physical, sexual, emotional, and economic abuse. In Rwanda, GBV is illegal and survivors can access support through Isange One Stop Centres, which provide medical, legal, and psychosocial support under one roof.","Ihohoterwa rishingiye ku gitsina ni iki?","Ihohoterwa rishingiye ku gitsina (GBV) ni ihohoterwa rigezweho ku muntu kubera igitsina cye. Birimo ihohoterwa ry'umubiri, iry'ibitsina, iry'imiuiciro, n'irya ekonomiya. Mu Rwanda, GBV iburiwe n'amategeko kandi abakimbye bashobora bongereza inkunga binyuze mu Isange One Stop Centres.","Rwanda Ministry of Gender; UNFPA",true,true
8,disability_SRH,access,"What SRH services are available for persons with disabilities in Rwanda?","Persons with disabilities in Rwanda have the same rights to SRH services as everyone else. Health centres are required to provide accessible services. Isange One Stop Centres can provide support for GBV survivors with disabilities. Disability organisations such as NUDOR and RDN can help connect people to services. Always ask a health worker for accessible options.","Serivisi z'ubuzima bw'imororokano zihari ku bantu bafite ubumuga mu Rwanda ni izihe?","Abantu bafite ubumuga mu Rwanda bafite uburenganzira bumwe n'ubw'abandi ku serivisi z'ubuzima bw'imororokano. Ivuriro rirasabwa gutanga serivisi zibonetse. Isange One Stop Centres zishobora gutera inkunga abakimbye GBV bafite ubumuga. Imiryango y'ubumuga nka NUDOR na RDN ishobora gufasha abantu gusanga serivisi. Baza umujyanama w'ubuzima ibijyanye n'amahitamo ahendutse.","NISR 2022; IPPF 2024",true,true
9,adolescent_health,puberty,"What changes happen during puberty?","Puberty is the time when your body changes from a child's body to an adult's body. In girls, puberty usually starts between ages 8 and 13 and includes breast development, pubic hair growth, and the start of menstruation. In boys, puberty usually starts between ages 9 and 14 and includes voice changes, pubic hair, and testicular growth. These changes are normal and healthy.","Guhinduka kw'umubiri mugihe cyo gukura bisobanura iki?","Gukura ni igihe umubiri wahinduka uva ku mubiri w'umwana ugana ku mubiri w'umuntu mukuru. Ku bakobwa, gukura bisanzwe bitangira hagati y'imyaka 8 na 13 kandi birimo gukura kw'amabere, gukura kw'umusatsi, no gutangira indwara y'ukwezi. Ku basome, bisanzwe bitangira hagati y'imyaka 9 na 14 kandi birimo guhinduka kw'ijwi, gukura kw'umusatsi, n'ibihimba by'ibitsina.","WHO Adolescent Health Guidelines",true,true
10,adolescent_health,menstruation,"What is menstruation and how do I manage it?","Menstruation (periods) is the monthly shedding of the uterine lining when pregnancy has not occurred. It usually lasts 3 to 7 days and comes every 21 to 35 days. You can manage it using pads, tampons, or menstrual cups. Period pain is common — a hot water bottle, light exercise, or pain relief medicine can help. If your period is very irregular or extremely painful, see a health worker.","Indwara y'ukwezi ni iki kandi niyigenzura ate?","Indwara y'ukwezi ni igihe gihoraho umubiri ugabanya umurizo w'nyababyeyi iyo inda itaba. Bisanzwe biramara iminsi 3 kugeza 7 kandi bijya buri minsi 21 kugeza 35. Urashobora kuyigenzura ukoresheje pad, tampons, cyangwa igikombe cy'indwara y'ukwezi. Ububabare bw'indwara y'ukwezi ni bisanzwe — igitabo cy'amazi ashyuha, siporo yoroheje, cyangwa imiti yo gufa ububabare bishobora gufasha.","Rwanda Ministry of Health",true,true
11,contraception,emergency,"What is emergency contraception?","Emergency contraception (EC) is used after unprotected sex to reduce the chance of pregnancy. The most common type is the morning-after pill (Plan B / Postinor), which works best if taken within 72 hours. It is available at pharmacies and health centres in Rwanda without a prescription. It is not an abortion pill and does not work if you are already pregnant.","Gukumira inda y'acil nzira ni iki?","Gukumira inda y'acil nzira bikoreshwa nyuma y'imibonano mpuzabitsina itaborerwa kugira ngo habanganye amahirwe yo gutwita. Ubwoko busanzwe ni iki bwa pilule ya nyuma y'ijoro (Plan B / Postinor), bikora neza cyane iyo bifashwe mu masaha 72. Bibonetse mu maduka y'imiti n'ivuriro mu Rwanda nta burenganzira bwa muganga. Siko pilule yo gukuraho inda kandi ntikora niba usanzwe utwite.","Rwanda Ministry of Health; WHO",true,true
12,reproductive_rights,age_of_consent,"What is the age of consent in Rwanda?","In Rwanda, the age of sexual consent is 18 years old. This means that anyone under 18 cannot legally consent to sexual activity with an adult. Sexual activity with someone under 18 is a criminal offence under Rwandan law, regardless of whether the younger person appears to agree.","Imyaka yo kwemera imibonano mpuzabitsina mu Rwanda ni ingahe?","Mu Rwanda, imyaka yo kwemera imibonano mpuzabitsina ni 18. Ibi bisobanura ko umuntu wese uri munsi y'imyaka 18 ntashobora kwemera mu buryo bw'amategeko gukora imibonano mpuzabitsina n'umuntu mukuru. Imibonano mpuzabitsina n'umuntu uri munsi y'imyaka 18 ni icyaha mu Rwanda, nubwo usiri mukuru aboneka nk'ubyemera.","Rwanda Penal Code 2018",true,true
