text,topic,label,source
All the following are strong supports of uterus EXCEPT:,general_srh,6,medmcqa
I am 41. Had a colposcopy done 10 days ago with good results but for about five days now I have been having chronic muscle aches in my thighs and mild cramps (almost how my PMS used to be in my younger years)... overall nagging aches...why? Is this normal? I had a colposcopy done about 6 yrs ago with no problems. Now I m worried.,puberty,3,healthcaremagic
"hi im 22, had unprotected sex and took a tablet of postinor 2 the following morning...i forgot to take the next pill ten hours later but took it the next morning after the last one but it was still within 72hr..my period has delayed 2 days and my breast are getting bigger..can it be pregnacy",puberty,3,healthcaremagic
I am 28 weeks pregnant and have just been to doctor and my blood pressure was 150/90 and there was protein in my urine. They have taken blood and are ringin me back at 5pm with the results. The doctor said I may have pre-eclampsia which would mean early labour. I have got home and am now very anxious. Would early labour mean now? Or jsut bed rest,pregnancy,2,healthcaremagic
A woman had a chest X ray without realizing that she is pregnant. The x ray was done after 7 weeks of her last menstrual period. She is now worried about the adverse effects of the X rays on fetal development. What is the time when organogenesis is completed?,pregnancy,2,medmcqa
"i recently have had a biopsy on the shaft of my penis, on the foreskin, i had stitches in there, but now the skin has healed and the stitches are out, underneath where the scar is, there is a painless lump, is this normal, im not sure weather it is the knot of one of the stitches becouse of of my stitches feel out in the night before the doctors took them out?",general_srh,6,healthcaremagic
"A pregnant female at 35 wks of pregnancy is diagnosed with SLE. Drugs that can be used to treat are all, EXCEPT:",pregnancy,2,medmcqa
"Hi, I dont exactly know how to explain what has been happening to me but I will try my best. For the past week I have been having what I call flashbacks of things that have never happened. When this happens I feel very dizzy, very emotional, sudenly feel sick and get very hot. I also feel very out of sorts for a while after. I am n ot depressed, stressed or take drugs or alcohol. What could this be? My boyfriend things I could be pregnant.",pregnancy,2,healthcaremagic
"hi Doctor, I am 38 years old. I have throat pain for past 15 days. For 5 months i have been suffering from irregular periods. Previously also, regular but for every 45days. My TSH previously was 7. yesterday when i checked, it is 0.15. For past 2 months I got regular periods, when i used homeo medicine. Now I didn t get periods. I have mild MR and moderate MS also. Please guide me. Esther",puberty,3,healthcaremagic
Bacterial indicator for dry heat sterilization is ?,contraception,0,medmcqa
we had a medical termination of pregnancy carried out about 1 year ago in the 7th month of pregnancy due to dandy walker variant present in the baby. We have since then tried for a baby with no results (trying for 7 months). Do we need to see a infertility specialist?,pregnancy,2,healthcaremagic
I am tryin to concieve...I have pcod n harmonal imbalances n also irregular periods...I am currently taking meta x once after dinner n rejumet 500 morn n eve..I just wanted to know wil dis hamper my chances of gettin pregnant or can I stil concieve while on these medicines????n also what if I dont know m pregnant n I over exert myself...wil that lead to a miscarriage before I get to know of my pregnancy???,pregnancy,2,healthcaremagic
hi.... i am a 21 yrs old female. I am worried that i am pregnent but i have not experienced any nausea or my period is still due... so i dont know whether itll occur or not..!!! but i am very worried. I did not have any intercourse but me and my boyfriend were playing and with a jerk he touched my vagina due to which just the hymen broke but his penis did not enter my vagina...!!! what should i do ???,general_srh,6,healthcaremagic
the liquid toched my sex organ wil i get pregnant .if i what to eay? i am 17.16o ht.54 is wt.,pregnancy,2,healthcaremagic
I stopped taking a new birth control about a month ago because it was making me feel sick and about a month after to the day that I began taking it I had a horrible migraine headache and anxiety attack. I went to the dr and had blood work and the only thing that showed up was I had a vitamin d deficiency and my cholesterol is a bit elevated. I only bleed for one day while on this new pill and have missed a period all together. I have had 2 other attacks since I stopped taking the pill but no one has given me an explanation as to what it could be. I dont know if its linked to the change in hormones or the vitamin D issue,contraception,0,healthcaremagic
